,event_date,t-1 close,t0 low,entry_price,is_recover,recovery_date,recovery_days,recovery_price,peak_date,peak_price,days_to_overrun,overrun_pct
0,2020-09-29,36.1,34.72,35.548,True,2020-09-29,0,35.56,2020-10-08,39.66,7,11.57
1,2020-12-30,46.13,45.9149,46.006,True,2020-12-30,0,46.28,2021-01-07,50.93,5,10.7
2,2021-03-30,55.6,55.27,55.468,True,2021-03-30,0,56.16,2021-04-09,57.45,7,3.57
3,2021-06-29,57.54,56.45,57.104,True,2021-06-29,0,57.34,2021-07-02,57.74,3,1.11
4,2021-09-29,60.42,59.76,60.104000000000006,True,2021-09-29,0,60.655,2021-10-08,62.62,7,4.19
5,2021-12-30,56.6,56.11,56.404,True,2021-12-30,0,56.65,2022-01-10,62.0,7,9.92
6,2022-03-30,56.87,54.86,56.066,True,2022-03-30,0,56.42,2022-03-30,56.42,0,0.63
7,2022-06-29,46.89,45.89,46.49,True,2022-06-29,0,46.825,2022-07-07,47.24,5,1.61
8,2022-09-29,41.42,40.31,40.976,True,2022-09-29,0,41.0902,2022-10-04,42.78,3,4.4
9,2022-12-29,43.35,42.91,43.142,True,2022-12-29,0,43.625,2023-01-10,46.9,7,8.71
10,2023-03-30,36.22,35.16,35.796,True,2023-03-30,0,36.405,2023-04-03,36.44,2,1.8
11,2023-06-29,32.32,32.035,32.204,True,2023-06-29,0,32.76,2023-07-11,35.18,7,9.24
12,2023-09-28,32.52,32.04,32.328,True,2023-09-28,0,32.79,2023-09-29,33.52,1,3.69
13,2023-12-28,43.94,43.33,43.672,True,2023-12-28,0,43.745,2024-01-05,44.33,5,1.51
14,2024-03-27,43.53,43.26,43.422,True,2024-03-27,0,44.02,2024-03-28,44.91,1,3.43
15,2024-06-28,39.68,39.32,39.536,True,2024-06-28,0,40.08,2024-07-10,40.83,7,3.27
16,2024-09-30,45.48,44.87,45.236,True,2024-09-30,0,45.78,2024-09-30,45.78,0,1.2
17,2024-12-31,48.25,47.62,47.998,True,2024-12-31,0,48.31,2025-01-06,49.67,3,3.48
18,2025-03-31,42.26,41.17,41.81999999999999,True,2025-03-31,0,42.34,2025-04-02,43.07,2,2.99
19,2025-06-30,45.76,45.15,45.516,True,2025-06-30,0,45.69,2025-07-07,48.39,4,6.31
