,event_date,t-1 close,t0 low,entry_price,is_recover,recovery_date,recovery_days,recovery_price,peak_date,peak_price,days_to_overrun,overrun_pct
0,2020-12-23,51.81,51.56,51.81,True,2020-12-23,0.0,52.4459,2020-12-29,52.74,3.0,1.8
1,2021-03-25,60.35,59.8208,60.35,True,2021-03-25,0.0,60.95,2021-03-31,64.4,4.0,6.71
2,2021-06-24,64.07,63.46,64.07,True,2021-06-24,0.0,64.155,2021-06-25,64.41,1.0,0.53
3,2021-09-23,59.74,59.53,59.74,True,2021-09-23,0.0,60.5,2021-09-27,61.18,2.0,2.41
4,2021-12-30,56.65,56.13,56.65,True,2021-12-30,0.0,56.82,2022-01-05,57.94,4.0,2.28
5,2022-03-24,49.49,49.135,49.49,True,2022-03-24,0.0,49.52,2022-03-29,50.64,3.0,2.32
6,2022-06-23,35.53,35.28,35.53,True,2022-06-23,0.0,35.95,2022-06-28,37.28,3.0,4.93
7,2022-09-29,29.78,28.82,29.78,True,2022-10-04,3.0,30.16,2022-10-05,30.34,4.0,1.88
8,2022-12-29,30.98,31.23,30.98,True,2022-12-29,0.0,32.56,2023-01-04,34.03,3.0,9.85
9,2023-03-30,37.72,38.11,37.72,True,2023-03-30,0.0,38.655,2023-04-06,39.73,5.0,5.33
10,2023-06-29,39.58,39.29,39.58,True,2023-06-29,0.0,39.77,2023-06-30,40.14,1.0,1.41
11,2023-09-28,34.11,33.835,34.11,True,2023-09-28,0.0,34.32,2023-09-29,34.6,1.0,1.44
12,2023-12-28,35.63,35.5,35.63,True,2023-12-28,0.0,35.879,2024-01-02,35.96,2.0,0.93
13,2024-03-27,32.5,32.7,32.5,True,2024-03-27,0.0,33.35,2024-03-28,33.42,1.0,2.83
14,2024-06-28,25.29,24.71,25.29,True,2024-06-28,0.0,25.33,2024-07-01,25.45,1.0,0.63
15,2024-09-27,26.51,26.61,26.51,True,2024-09-27,0.0,27.44,2024-09-27,27.44,0.0,3.51
16,2024-12-27,19.16,18.87,19.16,True,2025-01-02,3.0,19.21,2025-01-06,19.26,5.0,0.52
17,2025-03-28,15.64,14.86,15.64,False,,,,,,,
18,2025-06-27,16.0,15.72,16.0,True,2025-06-27,0.0,16.05,2025-07-01,16.93,2.0,5.81
